,title,label,label_score,len_title
6724,"Dituduh Serang Kilang Minyak Saudi Aramco, Iran: Siap Berperang",non-clickbait,0,9
4798,Wali Kota Depok Turut Berduka Meninggalnya BJ Habibie,non-clickbait,0,8
5911,"Ajak Anak-Anak Hidup Sehat, Siswi SMA Ciptakan Game Hygiene Rush",non-clickbait,0,10
7406,4 Langkah Mengecek Keberadaan Kamera Tersembunyi di Kamar Hotel,clickbait,1,9
410,"Tuntut Ditemui Anggota DPRD, Mahasiswa Injak Kawat Berduri dan Lempar Botol",non-clickbait,0,11
3338,"Kisah Raja Minyak Amerika Serikat, Petik 8 Kunci Suksesnya   ",clickbait,1,9
5436,"Setahun Lebih Diperbaiki, Kapal Induk Termahal AS Diuji Coba",non-clickbait,0,9
3160,Lirik Lagu Don't Call Me Angel ,non-clickbait,0,6
2093,Siti Nur Azizah Siap Berjuang Jadi Calon Wali Kota Tangsel,non-clickbait,0,10
3939,SURPRISE! Harga Tiket ke Jepang Lebih Murah daripada Jakarta-Pekanbaru,clickbait,1,9
7965,"Super Junior Ungkap Tracklist Untuk Album Comeback 'Time Slip', Bakal Bawakan 10 Lagu",clickbait,1,13
5029,"Bangun Keluarga, Pemkot Palu Canangkan Kampung KB",non-clickbait,0,7
3278,"Niat Ambil Video, Atlet Cantik Ini Jatuh dari Air Terjun Setinggi 50 Kaki",clickbait,1,13
3017,"Wakil Ketua KPK Saut Situmorang Mundur, Ini Kata Jokowi",clickbait,1,9
2948,4 Inovasi Rumah Pintar yang Bikin Anda Tenang Saat Tinggalkan Rumah,clickbait,1,11
1384,"Inilah Member BTS yang Punya Pendapatan Paling Besar, Bias Siapa Nih?",clickbait,1,11
2519,"Susah Tidur, Jefri Nichol Ditawari Ganja Di Restoran Fast Food Kemang",clickbait,1,11
2473,"Muncul Usulan DKI Gunakan Dua Wagub, Mungkinkah?",clickbait,1,7
284,Aksi Mahasiswa UNS Peringati Kematian Munir: Jokowi Tak Serius,non-clickbait,0,9
2162,"Daftar Harga Mobil Bekas Rp 100 Jutaan, Ada Avanza dan Xenia Juga",clickbait,1,12
930,"Raditya Dika dan Anak Terserang Autoimun, Simak Gejala yang Terjadi",clickbait,1,10
5514,Mahasiswa Cirebon Demo Tolak Revisi UU KPK dan Karhutla,non-clickbait,0,9
64,Sering Quality Time Bersama Keluarga? Ternyata Ini 3 Manfaatnya!,clickbait,1,9
2144,"Ansu Fati, Pencetak Rekor Termuda Barcelona ",non-clickbait,0,6
917,4 Zodiak Ini Rutin Introspeksi Diri dan Bercermin dalam Menjalani Kehidupan,clickbait,1,11
1418,"Habis Jutaan Rupiah di Supermarket, Struk Belanja Nikita Mirzani Panjang Banget!",clickbait,1,11
4394,Pemkot Depok Gelar Pekan Olahraga dan Seni Pondok Pesantren,non-clickbait,0,9
6752,Pengadilan Tinggi DKI Tolak Banding Ratna Sarumpaet,non-clickbait,0,7
2644,Saksikan Pertarungan Sengit PSM Makassar dan PSIS Semarang Live di Indosiar,clickbait,1,11
4878,Bulog Minta Penyesuaian Serapan dengan Penyaluran Beras ,non-clickbait,0,7
2594,30.065 Hektare Lahan Riau Terbakar,non-clickbait,0,5
5917,Mario Mandzukic Segera Hengkang dari Juventus?,clickbait,1,6
6140,Rusia Kembangkan Drone Siluman Raksasa Berbobot 22 Ton,non-clickbait,0,8
3605,"Lihat Ayahnya Jadi Wanita di Pretty Boys, Anak Desta Syok",clickbait,1,10
8160,"Dulu Duet Bareng, Rara Sekar 'Kakak Isyana' Sebar Petisi Bebaskan Ananda Badudu",clickbait,1,12
1167,Penggemar Kang Daniel Donasikan 10.000 Keping Album untuk Palang Merah Korea,non-clickbait,0,11
1613,Kim Soo Hyun Jadi Cameo di Episode Terakhir 'Hotel Del Luna',non-clickbait,0,11
1760,Polisi Dikeroyok 4 Pemuda Gara-gara Uang Parkir,non-clickbait,0,7
6853,"Akan Dikenai Pasal Makar, Buchtar Tabuni Ditangkap Polda Papua",non-clickbait,0,9
5568,"Genjot Investasi KEK Tanjung Lesung, Pemkab Pandeglang Permudah Calon Investor",non-clickbait,0,10
7419,Siapa Pengganti Imam Nahrawi? Muncul Nama Puan dan Gatot hingga Jokowi Tak Perlu Tunjuk Menpora Baru,clickbait,1,16
7464,Penyakit Langka Ini Bikin Bayi 7 Bulan Ini Menangis Sepanjang Hari,clickbait,1,11
3350,Prediksi Bos Jaguar Land Rover soal Mobil Listrik yang Jamin Bikin Ciut,clickbait,1,12
6782,"Ganjil Genap Ditiadakan Pagi Ini, Jalan MT Haryono Tetap Lengang",non-clickbait,0,10
7350,"Gara-gara Tak Ada Lauk saat Mau Makan, Suami di Sumsel Cekik dan Pukuli Istrinya",clickbait,1,14
1344,"Sinopsis Sinetron 'CINTA SUCI' Tayang Kamis, 2 Mei 2019",non-clickbait,0,9
6761,"Kian Banyak Orang Indonesia Minum Kopi, Berapa Jumlah yang Ideal?",clickbait,1,10
7986,Tulisan Tangan Cha Eunwoo Jadi Sorotan dan Tuai Komentar Kaget,clickbait,1,10
5789,Conte: Barcelona Tak Akan Suka Bertemu Inter,non-clickbait,0,7
8423,ITA 2019: Felicya Angelista Girang Foto Bareng NCT 127 Berkat Kemenangan Mieke Amalia,clickbait,1,13
8435,Park Bo Gum Diincar Jadi Pacar Suzy di Film 'Wonderland',clickbait,1,10
6903,"Pasangan di Inggris Terkejut Seusai Pesta Kebun, Ada Apa?",clickbait,1,9
3630,"7 Larangan Rasulullah, Nomor 2 Jangan Saling Memata-matai",clickbait,1,8
6926,"Dandelion Tak Cuma Bisa Ditiup, Ini Manfaatnya buat Kesehatan",clickbait,1,9
3653,"Viral di Medsos, Lagi Asyik Makan Es Krim, Bibir Bocah Ini Malah Dower",clickbait,1,13
2926,6 Perang Paling Berdarah dan Mematikan dalam Sejarah Dunia,clickbait,1,9
1864,"Kembangkan Kapal Riset Nasional, Susi Gandeng LIPI",non-clickbait,0,7
8175,"Bebby Fey Bantah Fitnah Atta Halilintar, Sumpahi Pembohong Dihukum Tuhan Tujuh Turunan",clickbait,1,12
2457,"Jokowi Mau Bangun Istana Negara di Papua, Ini Kata Bappenas",clickbait,1,10
2773,Jejak Kenangan BJ Habibie dalam Rumah Tua di Gorontalo,clickbait,1,9
6309,"9 Perusahaan Tekstil Gulung Tikar, Pengusaha Duga Ini Sebabnya",clickbait,1,9
6510,Glenn Yusuf Mundur dari Wakil Presiden Komisaris Bank CIMB Niaga,non-clickbait,0,10
2375,"Jaksa: Kerusuhan 22 Mei, Ambulans Gerindra Jadi Kamuflase untuk Simpan Batu",non-clickbait,0,11
2675,"Terungkap, Bill Skarsgard Sang Badut Pennywise Ternyata Pria Beranak Satu",clickbait,1,10
8418,"7 Tips Belanja Online dengan Aman Agar Terhindar dari Penipuan, Hati-Hati Sebelum Membeli!",clickbait,1,13
4336,Bawaslu Minta Parpol Buka Akses Rekrutmen Cakada,non-clickbait,0,7
3368,"Tips Beli Emas Digital, Bisa Dicicil Lalu Dijual Lagi",clickbait,1,9
4125,De Bruyne Motori Belgia Bekuk Skotlandia 4-0 ,non-clickbait,0,7
6016,Kesepakatan Mahasiswa dengan Setjen DPR tanpa Materai,non-clickbait,0,7
4092,"Bukan Jet Pribadi, Ini 5 Aset Termahal Milik Mark Zuckerberg",clickbait,1,10
6755,Polda Metro Jaya Serahkan Aktor Kriss Hatta ke Kejaksan,non-clickbait,0,9
8380,"ITA 2019: Luna Maya Ajak NCT 127 Main Games Emoji, Ekspresi Member Bikin Gemas",clickbait,1,14
254,"Fenomena Anggota DPRD Gadaikan SK ke Bank, Gejala Apa Ini?",clickbait,1,10
8224," Maia Estianty Sukses Ajak Suami Mbanyol Begini, Irwan Mussry Ketahuan Narsis Di Jet Pribadi",clickbait,1,14
7204,Terungkap Motif Diedarkannya Video Mesum Pasangan Selingkuh di Sumedang,clickbait,1,9
2182,Rossi dan Marquez Bersitegang Lagi di GP San Marino,non-clickbait,0,9
681,KPK Panggil Eks Sesmenpora Jadi Saksi Asisten Imam Nahrawi,non-clickbait,0,9
944,"Kunyit hingga Buah Bit, Ini Pewarna Alami untuk Makanan",clickbait,1,9
4773,PBSI Gembira Audisi Bulu Tangkis Dilanjutkan,non-clickbait,0,6
6775,"Ojek Online Marak, Siapa Saja Selain Grab dan Gojek?",clickbait,1,9
6355,Fairmont Menghadirkan Kuliner Jepang di Jakarta,non-clickbait,0,6
3930,"Pulang Kerja, Dengar Suara Desahan Keenakan, Pas Masuk Rumah, Ternyata...",clickbait,1,10
381,Mahasiswa Universitas Halu Oleo Tewas Tertembak Saat Demo,non-clickbait,0,8
2928,Begini Cara Astronot Memperingati Tragedi 9/11 dari Angkasa Luar,clickbait,1,9
3536,"Menerima Honor dari Membaca Alquran, Bagaimana Hukumnya?",clickbait,1,7
4312,Dinkes Batam Imbau Warga Waspadai Kabut Asap,non-clickbait,0,7
4754,Airin: Kecintaan Habibie pada Ilmu Pengetahuan Luar Biasa,non-clickbait,0,8
4811,Gareth Southgate Khawatir Terima Umpatan Rasial,non-clickbait,0,6
2447,"IHSG Ditutup Menguat, Rupiah di Posisi 14.050 Per Dolar AS",non-clickbait,0,10
3029,3 Mobil Listrik Ciptaan Mahasiswa UMS Siap Bertarung di KMHE 2019,non-clickbait,0,11
898,"Kulit Ubi Jalan Kaya Nutrisi, Ini Cara Makan Ubi Jalar Bersama Kulitnya",clickbait,1,12
1054,"Berkarir di Australia, Artis 90-an Multitalenta Ini Siapkan Banyak Judul Film",clickbait,1,11
1898,"""Speed Boat"" Terbalik di Klungkung, Dua Turis Asing Meninggal",non-clickbait,0,9
2862,"Selain 6,9 Detik, Berikut 3 Film Biopik Atlet Indonesia",clickbait,1,9
804,Hilangnya Independensi PB PMII,non-clickbait,0,4
5495,"8 Minuman Teraneh yang Pernah Ada di Dunia, Berani Coba?",clickbait,1,10
6245,"Tips Mencuci Knit Sneakers, Cari Deterjen yang Lembut",clickbait,1,8
2195,"Viral Penipuan Ojek Online Berkedok Istri Sakit, Cukup Dengarkan Saja",clickbait,1,10
7938,"Usung 9 Tuntutan, ARB Klaim Aksi #GejayanMemanggil2 Bakal Lebih Masif",clickbait,1,10
4497,Menkominfo Minta RUU Data Pribadi Segera Dibahas,non-clickbait,0,7
3288,"Kesal Terus Ditanyai soal Rumor Neymar, Valverde: Itu Semua Sudah Berakhir!",clickbait,1,11
7231,Bocah 6 Tahun di Bekasi Meninggal Diduga Dibully Teman? Ini kata Orangtua dan Penjelasan Polisi,clickbait,1,15
2449,Ini Rincian Skema Biaya Pembangunan Ibu Kota Baru,clickbait,1,8
3936,"Wartawan Jadi Korban Keberingasan Aparat Keamanan,  ""Dipukul dan Dihapus Rekamannya!""",clickbait,1,10
7766,"Jelang Sambut Hari Ulang Tahun, GTV Siapkan 'Big Movies Spesial Amazing 17' ",non-clickbait,0,12
961,Rambut Gampang Lepek? 3 Hal Ini Mungkin Penyebabnya,clickbait,1,8
2130,"""Urusan Ranjang Bukan Urusan Negara...""",clickbait,1,5
1115,"Anak Sulung Wisuda, Tommy Soeharto dan Tata Cahyani Foto Bersama",non-clickbait,0,10
5541,"Bahayakan Penerbangan, 250 Liter Miras dan 117 Power Bank Dimusnahkan di Bandara Sam Ratulangi",non-clickbait,0,14
7171,"Mengaku Jarang Menangis, Raditya Dika Menitikkan Air Mata saat Anaknya Alami Hal Ini",clickbait,1,13
5339,Pakar Hukum Tata Negara Sebut Pengangkatan Wamen Sah dan Konstitusional,non-clickbait,0,10
8420,"Irene Red Velvet Bersinar di Event Chanel, Disebut Titisan Dewi Yunani Kuno Saking Cantiknya",clickbait,1,14
2692,Sergio Ramos Minta Izin Hengkang dari Real Madrid,clickbait,1,8
7823,Asisten Nia Ramadhani Bongkar Raffi Ahmad-Nagita Slavina Tak Akur Malah Dituding Pansos,clickbait,1,12
5439,AS Masih Tekan Turki agar Hancurkan Sistem Rudal S-400 Rusia,non-clickbait,0,10
6256,PT Mobil Anak Bangsa Akan Produksi Motor Listrik dan Battery Pack,non-clickbait,0,11
7574,"Jadi Tersangka KPK, Imam Nahrawi Otomatis Mundur dari Jabatan Menpora?",clickbait,1,10
7758," Tina Toon Pamer Kursi Di Gedung DPR, Papan Nama Tampilkan Identitas Ganda Disorot",clickbait,1,13
8287,"Nikita Mirzani Bangga Tak Perlu Jadi Cabe-Cabean, Asyik Hitung Uang Saweran Nyanyi di Klub Malam",clickbait,1,15
7777,Anang Hermansyah Turut Bangga Krisdayanti Jadi Anggota DPR Hingga Berikan Pesan Ini,clickbait,1,12
3786,Breaking News! Anggota OKP dan Prajurit TNI Bentrok di Marendal,clickbait,1,10
6726,"Tak Perlu ke Lombok-Bali, Inilah Gili di Jawa Timur yang Memikat",clickbait,1,11
2958,Kuliner Malam Jumat: Tergoda Uniknya Rasa Bubur Goreng,clickbait,1,8
7972,"(G)I-DLE Peringkat Terbawah Di 'Queendom', Reaksi Jeon Soyeon Dipuji Leader Sempurna",clickbait,1,11
4321,90 Ekor Sapi Mati Akibat Jembrana di Mukomuko,non-clickbait,0,8
6039,"Liga Champions: Napoli Vs Liverpool 2-0, Llorente Balas Dendam",non-clickbait,0,9
3804,"Pakai Cadar, Pria Cabul Ini Berhasil Pegang-pegang Jamaah Perempuan",clickbait,1,9
6374,"Piala Dunia Basket: AS Gagal ke Semifinal, Ditekuk Prancis 79-89",non-clickbait,0,10
7397,"Raditya Dika Akui Tak Suka Anak Kecil, Anissa Aziza Ungkap Perubahan Suaminya Setelah Alea Lahir",clickbait,1,15
7784,Ririn Ekawati Ungkap Alasan Lebih Suka Liburan Sendiri Tanpa Ajak Anak-Anak,clickbait,1,11
2357,"Soal Penyadapan, Pakar: Jangan Hanya KPK yang Diobok-obok Kewenangannya",non-clickbait,0,9
2633,BJ Habibie Punya Jiwa Entrepreneur Tinggi,clickbait,1,6
408,Polisi Sebut Awal Mula Rusuh di Wamena dari Bentrok Massa dan Pelajar,non-clickbait,0,12
7712,Bebby Fey Geram Sang Bunda Disebut Pura-Pura Sakit Hingga Beri 'Ancaman' Ini,clickbait,1,12
1555,"Umrah Bareng Irwan Mussry, Maia Estianty Berangkat Naik Jet Pribadi",non-clickbait,0,10
1013,Punya Kulit Sensitif? Simak Tips Aplikasi Makeup yang Tepat Berikut Ini,clickbait,1,11
813,"Massa Demo Penuhi Jalan Gatot Subroto Depan DPR, Lalin Ditutup",non-clickbait,0,10
3019,Ini 4 Poin yang Ditolak Jokowi Dalam Revisi UU KPK,clickbait,1,10
1536,"Dami Kwon Kakak G-Dragon Bakal Nikahi Aktor Kim Min Joon, Begini Detailnya",clickbait,1,12
997,"Tidak Lapar tapi Ingin Makan Terus, Kenali 4 Penyebabnya",clickbait,1,9
8056,Bocoran Detail Pernikahan Justin Bieber dan Hailey Baldwin yang Digelar Privat,clickbait,1,11
5944,Fasha Didaulat Jadi Ketua Dewan Penasehat DPD Korps Alumni KNPI Provinsi Jambi,non-clickbait,0,12
1945,"Mau Jadi Calon Wali Kota Tangsel, Kolonel Beben Siap Mundur dari TNI",non-clickbait,0,12
1240,"Album FOCUS dari Jus2 GOT7 Ceritakan Tentang Panca Indera, Sudah Dengerin?",clickbait,1,11
4614,Pemahaman Pengusaha Soal IPO Masih Rendah,non-clickbait,0,6
2610,"Remaja Sering Berpikiran untuk Bunuh Diri, Begini 6 Cara Mencegahnya",clickbait,1,10
8257,"Lapor ke Komnas HAM, Ikatan Mahasiswa Sebut Polisi Alat Pembunuh",non-clickbait,0,10
7255,"Ada Janji Tak Dipenuhi, Bebby Fey Bongkar Kelakukan Youtubers Kenamaan Pernah Tiduri Dirinya",clickbait,1,13
7180,"Pelatih Timnas Indonesia Sudah Tahu Cara Menang, Pelatih Thailand Ingin Hujan Gol",non-clickbait,0,12
6553,"Foto Jerinx SID Tak Ada di Instagram, Ini Kata Nora Alexandra",clickbait,1,11
3566,"5 Gaya Claudia Emmanuela Santoso, Gadis Cirebon yang Guncang Panggung The Voice Jerman",clickbait,1,13
677,"Jaringan Teroris JAD Bekasi dan Jakarta Ditangkap, Barang Bukti 500 Gram TATP",non-clickbait,0,12
6642,"Malaysia Sebut RI Kirim Asap, Gubernur Sumsel: Itu dari Mereka",non-clickbait,0,10
7263,"Bakal Memerankan Batman, Robert Pattinson Dapat Komentar Pujian dari Sang Mantan Pacar",clickbait,1,12
7618,Fairuz A. Rafiq Cerita Pengalaman Sewa Hotel di Korea Tempat Lee Min Ho Menginap,clickbait,1,14
5369,"Liverpool Kalah, Klopp : Napoli Berpeluang Juara Liga Champions",non-clickbait,0,9
2942,"Tertarik Tingkatkan Skill Berkendara Motor, Tempat Ini Bisa Dicoba",clickbait,1,9
6644,"Pemilihan Wali Kota Tangsel, Aktivis ICW Klaim Raih Dukungan",non-clickbait,0,9
8027," Bukan Riya', Maia Estianty Beber Alasan Rajin Bagikan Foto Umrah Bareng Suami",clickbait,1,12
5723,"Kemarau Berkepanjangan, Warga Jakbar Rogoh Kocek untuk Air Bersih",non-clickbait,0,9
2249,Ini Penyebab Kecelakaan di Tol Jagorawi yang Tewaskan 3 Orang,clickbait,1,10
3889,"Jaga Paspor Anda, Kalau Hilang Dendanya Mahal, Ngurusnya Ribet",clickbait,1,9
8261,"Berkaca Dari Rumah Tangganya, Melaney Ricardo Beri Wejangan Soal Pernikahan",clickbait,1,10
615,"Buka Pendaftaran Pilkada 2020, NasDem: Tidak Ada Mahar",non-clickbait,0,8
1017,Alasan Ibu Hamil Rentan Stres dan Cara Mengatasinya,clickbait,1,8
1175,"10 Film Horor Indonesia yang Perlu Kamu Tonton, Dijamin Bikin Merinding",clickbait,1,11
2284,"Antisipasi Kebakaran Lahan, Ibu Kota Baru akan Dilengkapi Bendungan Penampung Air",non-clickbait,0,11
1199,"Viral, Editan Krystal f(x) & Jennie BLACKPINK Yang Bikin Kai EXO 'Melongo'",clickbait,1,12
951,"Sudah Terpilih, Ini Dia Member yang Jadi Leader SuperM",clickbait,1,9
5376,Intel Jerman Sebut Iran Berusaha Dapatkan Senjata Pemusnah Massal,non-clickbait,0,9
8245,"Sang Anak Ingin Jadi Pemain Sinetron, Asha Shara Tolak Tegas Suruh Jadi Penyanyi Saja",clickbait,1,14
7085,"Sofyan Djalil Ancam Spekulan Tanah, Bisa Dijerat Pidana",non-clickbait,0,8
7449,"Tips untuk Bermain Auto Chess Mobile, Gunakan 4 Cara Ini!",clickbait,1,10
7506,"Ada Diskon Hingga Rp 20 Juta untuk Mitsubishi Pajero Sport, Siapa Berminat?",clickbait,1,12
6595,Kualifikasi Piala AFC U-16: Pelatih Filipina Puji Timnas U-16,non-clickbait,0,9
6110,Model Nyaris Dipenjara di Korea Utara karena Curi Topi Tentara,non-clickbait,0,10
6561,"Kasus Kepemilikan Senjata Api, Kivlan Zen Jalani Sidang Hari Ini",non-clickbait,0,10
3144,Video Syur Siswi SMA di Sumsel Ternyata Disebar Pacar Korban,clickbait,1,10
3149,"Revisi UU Disahkan, Legitimasi KPK Diyakini Tak Akan Mati",non-clickbait,0,9
7199,"3 Pemain Timnas Indonesia Urung Gabung Persib, Ini Alasan Robert Alberts",clickbait,1,11
4190,Tips Sukses Menjadi Penyelenggara Event ,clickbait,1,5
3893,"""Maaf Bu Guru. Bukannya Saya Nggak Mau Makan, Tapi Tidak Ada Beras Lagi di Rumah""",clickbait,1,15
1444,"Fakta Unik 'POKEMON DETECTIVE PIKACHU', Kini Bisa Ngomong Seperti Manusia",clickbait,1,10
2391,Begini Cara Andre Taulany Dapat Diskon Besar Saat Beli Harley,clickbait,1,10
5294,Juergen Klopp Merasa Liverpool Tak Pantas Dihukum Penalti,non-clickbait,0,8
7147,"Kemenristek Dikti Tuntut 11 PTNBH Masuk 500 Besar Dunia, Ini Kondisinya Sekarang",clickbait,1,12
2436,Menteri Susi Curiga Manuver 13 Kapal Pengawas Vietnam di Natuna Utara,non-clickbait,0,11
8404,Awkarin Ternyata Sempat Diremehkan Saat Mendadak Pesan 3 Ribu Nasi Kotak Untuk Pendemo ,clickbait,1,13
934,"Jangan Panik, Ini Tips Mengatasi Anak Rewel Akibat Demam Tinggi",clickbait,1,10
7018,Kulit Wajah Kering dan Kusam? Atasi dengan 5 Perawatan Mudah Ini,clickbait,1,11
3293,"Tes Kepribadian, Gambar Pertama yang Dilihat Terangkan Siapa Kamu Sebenarnya",clickbait,1,10
6424,"PLN Lapor DPR, Bayar Kompensasi Pemadaman Listik Rp 840 Miliar",non-clickbait,0,10
6136,"Per 17 Oktober, Produk Makanan Minuman Wajib Bersertifikat Halal",non-clickbait,0,9
7117,"Syahrini akan Sering Check Up ke Luar Negeri Ditemani Reino Barack, Ternyata Ini Alasannya",clickbait,1,14
4997,Panglima TNI Resmikan Monumen Pesawat Terbang di UNS,non-clickbait,0,8
3258,"Butuh Trofi, Berbatov Minta Man United Fokus Juarai Liga Eropa 2019-2020",non-clickbait,0,11
541,"Pelajar Demo Ricuh hingga Lewat Tengah Malam, Ini Kata Mendikbud",clickbait,1,10
3209,Shandy Aulia Pamer Baby Bump Tampil dengan Bikini hingga Dress Transparan,clickbait,1,11
2765,Cerita Mistis Pemuda Jember Melihat Karnaval di Hutan Angker,clickbait,1,9
6275,"Mahasiswa Protes UU KPK dan RKUHP, DPR Janji Pertemuan Lanjutan",non-clickbait,0,10
7483,"5 Zodiak Paling Cerewet: Gemini Pandai Mencairkan Suasana Agar Tak Membosankan, Kamu Termasuk?",clickbait,1,13
8394,Bebby Fey Minta Rumah dan Mobil Mewah Sebagai Syarat Damai dengan Sang YouTuber Terkenal?,clickbait,1,14
2983,Menko Darmin Gelar Rapat Bahas Pengelolaan Sisa Tambang Hasil Industri,non-clickbait,0,10
5879,Pimpinan KPK Surati DPR Minta Dilibatkan dalam Revisi UU,non-clickbait,0,9
7150,"Kronologi Bus Mira vs Mobil Innova, Satu Korban Selamat Buronan Kasus Narkoba, Ini Identitasnya",clickbait,1,14
8112,Rina Nose Merasa Jadi Korban Bullying Usai Kembali Tanggapi Komentar Netizen,clickbait,1,11
6168,"PSIS Vs Persebaya Tanpa Penonton, Bejo Sugiantoro: Sama-sama Rugi",non-clickbait,0,9
1009,"Disebut Lebih Seram dari Pengabdi Setan, Ini Sinopsis Film Perempuan Tanah Jahanam",clickbait,1,12
8106,"Dikabarkan Berkolaborasi Bareng BTS, Momen J-Hope Ke Amerika Buat 'Bisnis' Bareng Becky G?",clickbait,1,13
4340,Disdik dan SGE Kerja Sama Beri Beasiswa ke Siswa ,non-clickbait,0,9
2680,Anton Issoedibjo Meninggal Dunia karena Stroke,non-clickbait,0,6
7794,"Bodi Berotot Aktris Lee Si Young Bikin Molongo, Kadar Lemaknya Cuma Segini",clickbait,1,12
3058,Fitur WhatsApp Verifikasi Dua Langkah Perkuat Keamanan Informasi,non-clickbait,0,8
6736,YLBHI Minta Jokowi Tidak Mempermainkan Mandat Rakyat,non-clickbait,0,7
6444,"Pidato Kontemplasi, SBY Singgung Lampu Kuning Toleransi",non-clickbait,0,7
4363,Narasi Buku Sejarah Kurang Tunjukkan Percaya Diri Bangsa,non-clickbait,0,8
1887,Fraksi Demokrat DPRD Bandung Benarkan Anggotanya Ditahan di Polresta Padang,non-clickbait,0,10
5809,Tarif Sewa Rusunawa Kota Mojokerto Dinilai Kemahalan,non-clickbait,0,7
4870,Ramos Nilai Van Dijk Layak Raih Ballon D'Or,non-clickbait,0,8
6128,81 Proyek Strategis Nasional Senilai Rp 390 Triliun Rampung,non-clickbait,0,9
904,"Bikin Heboh, Rossa Diapit 6 Anak Muda NCT Dream",clickbait,1,9
4848,Jarak Pandang Kota Pekanbaru Turun Drastis Akibat Kabut Asap,non-clickbait,0,9
5064,BNI Syariah Resmikan Pembentukan JES Palembang,non-clickbait,0,6
1696,Ini Hasrat Pecatur Andalan Indonesia di Piala Dunia FIDE,clickbait,1,9
1293,"6 Fakta Xana Tang, Bintang Film 'MULAN' yang Juga Sahabat Iqbaal Ramadhan",clickbait,1,12
4873,560 Santri se-Kota Depok Semarakkan Pekan Olahraga dan Seni,non-clickbait,0,9
6332,Kabut Asap Pekat Kepung Palangka Raya,non-clickbait,0,6
3887,"Ibunya Meninggal Ditabrak Mobil, Bocah Ini Tak Bisa Ikut Membantu Menyapu Jalan Lagi...",clickbait,1,13
1157,"Andhika Pratama Larang Ussy Sulistiawaty Tonton Aksinya di JICOMFEST 2019, Ada Apa?",clickbait,1,12
8508,Delon Thamrin Tak Perbolehkan Calon Istri Makan Banyak Jelang Hari Pernikahan,clickbait,1,11
2641,Melanie Subono Kabarkan BJ Habibie Meninggal: Sampai Jumpa di Keabadian...,clickbait,1,10
1640,Kronologi Lengkap Pemuda di Bandung Tusuk Gadis Pujaan karena Cinta Ditolak,clickbait,1,11
2401,"Wapres Jusuf Kalla Setuju Ada Dewan Pengawas KPK, tetapi...",clickbait,1,9
6485,Inikah Sosok Nissan X-Trail Masa Depan Lebih Kencang dari Tesla,clickbait,1,10
7631,Pose Denada Tiduran Di Atas Meja Pakai Busana Transparan Jadi Bahan Gunjingan,clickbait,1,12
6954,PDIP Janji Galang Partai-partai Tolak  RUU Pertanahan,non-clickbait,0,7
1222,"Sinopsis Sinetron 'CINTA SUCI' Episode 305 Tayang Senin, 8 April 2019",non-clickbait,0,11
876,"4 Foto Terbaru Yeonwoo Momoland setelah Vakum, Wajah Berubah?",clickbait,1,9
2581,Donald Trump Sebut Perundingan Damai AS - Taliban Sudah 'Mati',clickbait,1,10
7822,"Umji G-Friend Posting Foto Cantik, Netizen Sebut 'Oplas Berhasil' Sindir JooE Momoland",clickbait,1,12
3676,"Mengenal Sosok Guru Ganteng yang Viral, Menantu Idaman ",clickbait,1,8
5183,"Gandeng PrivyID, Investree Gunakan Tanda Tangan Digital",non-clickbait,0,7
1599,Sosialita Wanda Ponika Sudah Pelajari Dunia Politik Sejak SD,non-clickbait,0,9
7384,"Mengenal Noviana, Pengamen Cantik Wisudawan Terbaik di Universitas Airlangga",clickbait,1,9
6289,Preview Liga 1: Bali United Waspadai Pemain Baru Bhayangkara FC,non-clickbait,0,10
3389,"Despacito dan Senorita Booming, Novita Dewi Nyanyikan Lagu Bernuansa Latin",clickbait,1,10
919,Resep Salad Kentang Mayo,non-clickbait,0,4
1477,"Unggah Video Ahmad Dhani Bersama Anak, Mulan Jameela Kangen?",clickbait,1,9
6405,Harga Emas Diperkirakan Merangkak Naik Sampai Akhir 2019,non-clickbait,0,8
7276,"5 Fakta BJ Habibie Sakit hingga Tersebar Hoaks Meninggal, Dijenguk Presiden Jokowi & Respon Dokter",clickbait,1,15
4803,Ekonom: Revisi Undang-Undang Bukan Solusi Perbaiki Investasi,non-clickbait,0,7
8174,Ini Dalih Ketua DPR Bamsoet Usai Tolak Berdialog Dengan Mahasiswa,clickbait,1,10
4598,Siswa SDIT Al-Barkah Belajar MIPA Lewat Fun Math and Science,non-clickbait,0,10
1012,"Tak Perlu ke Dokter Kulit, Ini Trik Hilangkan Milia",clickbait,1,9
8041,"Ucapkan Sumpah Jabatan, DPR Periode 2019-2024 Telah Dilantik",non-clickbait,0,8
227,Lahan Istana Kepresidenan di Papua Segera Disertifikatkan,non-clickbait,0,7
5257,Menteri Rini Intens Dorong BUMN Garap Proyek Infrastruktur di Afrika,non-clickbait,0,10
6358,"Air Kelapa Kaya Nutrisi untuk Ibu Hamil, Rasakan 9 Manfaatnya",clickbait,1,10
3098,Menkumham Usul Pasal 418 di RKUHP Dihapus,non-clickbait,0,7
8254,"V BTS, Irene Red Velvet dan Jaehyun NCT Disebut Patahkan Prasangka Soal Member Visual",clickbait,1,14
267,Penyelundupan 74 Ekor Burung Dilindungi Berhasil Digagalkan,non-clickbait,0,7
